Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.core-clinical.json	16688	-	0	0	0	0	0	0	24	71	0	0	1	0	0	0	0	1	0	0	0	185	203	0	0	0	4	0	2
fsh-generated/resources/CodeSystem-be-cs-belrai-score.json	8830	5	0	0	2	0	1	0	3	17	0	0	0	0	0	0	0	0	0	0	0	87	274	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-bodysite.json	636	2	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	26	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-category.json	3742	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	28	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-origin-type.json	2581	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	45	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-referencerange-type.json	2034	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	27	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-score-category.json	2022	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	38	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-score.json	6491	2	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	28	45	0	0	0	0	0	0
fsh-generated/resources/Observation-GOFSH-GENERATED-ID-0.json	2162	3	0	0	0	0	0	0	1	415	0	0	0	0	0	0	0	1	0	0	0	20	22	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-BeModelBodySite.json	2045	2	0	8	0	0	0	1	0	45	0	0	0	0	0	0	0	0	0	0	0	37	503	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelClinicalObservation.json	10629	4	0	20	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	0	153	297	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelDevice.json	9738	3	0	24	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	149	290	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelDeviceUseStatement.json	8360	3	0	18	0	0	0	0	0	1591	0	0	1	0	0	0	0	0	0	0	0	128	313	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-BeModelProblem.json	10138	4	0	16	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	133	248	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelProcedure.json	12330	3	0	16	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	106	213	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-be-clinical-observation.json	6415	4	0	43	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	202	4127	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-be-device-use-statement.json	5004	3	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	110	205	0	0	0	4	0	0
