URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/device-nametype,5.0.0,active,,DeviceNameType,Device Name Type,"The type of name the device is referred by.","ValueSet/device-nametype"
http://hl7.org/fhir/device-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.215",DeviceUseStatementStatus,DeviceUseStatementStatus,"A coded concept indicating the current status of the Device Usage.","ValueSet/device-statement-status"
http://hl7.org/fhir/device-status,5.0.0,active,,FHIRDeviceStatus,FHIR Device Status,"The status of the Device record.","ValueSet/device-status,ValueSet/DeviceStatusVS"
http://hl7.org/fhir/event-status,5.0.0,draft,,EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/observation-status,5.0.0,active,,ObservationStatus,Observation Status,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/udi-entry-type,5.0.0,active,,UDIEntryType,UDI Entry Type,"Codes to identify how UDI data was entered.","ValueSet/udi-entry-type"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/observation-codes"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/condition-stage,ValueSet/be-vs-laterality,ValueSet/procedure-followup,ValueSet/ProblemDiseaseCourseVS,ValueSet/device-action,ValueSet/be-vs-score,ValueSet/body-site,ValueSet/manifestation-or-symptom,ValueSet/procedure-code,ValueSet/be-vs-severity,ValueSet/device-kind,ValueSet/performer-role,ValueSet/referencerange-appliesto,ValueSet/be-vs-bodysite,ValueSet/procedure-reason,ValueSet/procedure-outcome,ValueSet/procedure-category,ValueSet/DeviceTypeVS,ValueSet/condition-code,ValueSet/be-vs-body-topography,ValueSet/condition-stage-type,ValueSet/procedure-not-performed-reason,ValueSet/observation-methods,ValueSet/be-vs-reaction-manifestation-code,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/device-status-reason,2.0.0,active,"2.16.840.1.113883.4.642.1.1082",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","ValueSet/device-status-reason,ValueSet/DeviceStatusReasonVS"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,1.0.1,active,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,4.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-category,1.1.0,active,,BeCSProblemCategory,Problem Category,"Problem Category","ValueSet/be-vs-problem-category"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-origin-type,1.1.0,active,,BeCSProblemOriginType,Problem Origin Type,"Problem Origin Type","ValueSet/be-vs-problem-origin-type"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-score,1.1.0,active,,BeCSScore,Score Code System,"Codes as defined initially by the NIHDI. Dutch translations were not yet defined but are planned   for a next release.","ValueSet/be-vs-score"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-score-category,1.1.0,active,,BeCSScoreCategory,Score Category,"Score Category","ValueSet/be-vs-scorecategory"
urn:ietf:bcp:47,2.0.1,active,,Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
