URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/device-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.215",DeviceUseStatementStatus,DeviceUseStatementStatus,"A coded concept indicating the current status of the Device Usage.","ValueSet/device-statement-status"
http://hl7.org/fhir/device-status,5.0.0,active,,FHIRDeviceStatus,FHIR Device Status,"The status of the Device record.","ValueSet/DeviceStatusVS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/ProblemDiseaseCourseVS,ValueSet/be-vs-body-topography,ValueSet/be-vs-bodysite,ValueSet/be-vs-score,ValueSet/be-vs-laterality,ValueSet/be-vs-reaction-manifestation-code,ValueSet/be-vs-severity,ValueSet/condition-severity,ValueSet/DeviceTypeVS"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
http://terminology.hl7.org/CodeSystem/device-status-reason,2.0.0,active,"2.16.840.1.113883.4.642.1.1082",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","ValueSet/DeviceStatusReasonVS"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-category,1.1.0,active,,BeCSProblemCategory,Problem Category,"Problem Category","ValueSet/be-vs-problem-category"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-origin-type,1.1.0,active,,BeCSProblemOriginType,Problem Origin Type,"Problem Origin Type","ValueSet/be-vs-problem-origin-type"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-score,1.1.0,active,,BeCSScore,Score Code System,"Codes as defined initially by the NIHDI. Dutch translations were not yet defined but are planned   for a next release.","ValueSet/be-vs-score"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-score-category,1.1.0,active,,BeCSScoreCategory,Score Category,"Score Category","ValueSet/be-vs-scorecategory"
