Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.core-clinical.json	21483	-	0	0	0	0	0	0	14	130	0	0	0	0	0	0	0	1	0	0	0	162	284	0	0	0	9	0	1
fsh-generated/resources/Bundle-uc52-bundle.json	4385	4	23	0	0	0	0	0	1	3569	0	0	0	0	0	0	0	0	0	0	0	26	28	0	0	1	0	0	0
fsh-generated/resources/Bundle-uc53-bundle.json	28701	11	17	0	0	0	0	0	4	4901	0	0	0	0	0	0	0	0	0	0	0	101	229	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-bodysite.json	636	2	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	13	202	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-category.json	3742	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	20	134	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-origin-type.json	2581	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	16	149	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-score-category.json	2022	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-score.json	6491	2	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	29	106	0	0	0	1	0	0
fsh-generated/resources/Composition-uc52-composition.json	600	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Composition-uc53-composition.json	600	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Device-device.json	253	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
