"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelEncounter","BeModelEncounter","","","",0,*,"","","","null {[]} {[]}
","BeEncounter Model","Administrative recording of a meeting between a patient and a practitioner/organisation, with references to clinical data.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelEncounter.identifier","BeModelEncounter.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique business identifier of the CareSet","Unique business identifier of the CareSet","","","","","","","","","",,,,,"",,,,"BeModelEncounter.identifier",1,*,"",""
"BeModelEncounter.recordedDate","BeModelEncounter.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date of registration by the Author/Recorder (date of the last update).","Date of registration by the Author/Recorder (date of the last update). Enables CareSet history management through the pair Business Identifier - RecordedDate, which guarantees access to the latest version of the content","","","","","","","","","",,,,,"",,,,"BeModelEncounter.recordedDate",1,1,"",""
"BeModelEncounter.author","BeModelEncounter.author","","","",1,1,"","","","Reference {[]} {[]}
","The health professional who takes responsibility for the recorded content","The health professional who takes responsibility for the recorded content","","","","","","","","","",,,,,"",,,,"BeModelEncounter.author",1,1,"",""
"BeModelEncounter.status","BeModelEncounter.status","","","",1,1,"","","","code {[]} {[]}
","Registration status, the moment in the lifecycle. For example: final, corrected, cancelled, entered-in-error. ValueSet: VS_Encounter_Status","Registration status, the moment in the lifecycle. For example: final, corrected, cancelled, entered-in-error. ValueSet: VS_Encounter_Status","","","","","","","","","",,,,,"",,,,"BeModelEncounter.status",1,1,"",""
"BeModelEncounter.class","BeModelEncounter.class","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Classification of the type of Encounter. ValueSet: VS_Encounter_Class","Classification of the type of Encounter. ValueSet: VS_Encounter_Class","","","","","","","","","",,,,,"",,,,"BeModelEncounter.class",0,*,"",""
"BeModelEncounter.serviceType","BeModelEncounter.serviceType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of services/specialisation offered during the Encounter. ValueSet: VS_Encounter_ServiceType (see proposal VS_Be_ServiceType_Voorstel)","Type of services/specialisation offered during the Encounter. ValueSet: VS_Encounter_ServiceType (see proposal VS_Be_ServiceType_Voorstel)","","","","","","","","","",,,,,"",,,,"BeModelEncounter.serviceType",0,*,"",""
"BeModelEncounter.subject","BeModelEncounter.subject","","","",1,1,"","","","Reference {[]} {[]}
","The person who is the subject of the healthcare the record (CareSet) refers to. Refers to BePatient","The person who is the subject of the healthcare the record (CareSet) refers to. Refers to BePatient","","","","","","","","","",,,,,"",,,,"BeModelEncounter.subject",1,1,"",""
"BeModelEncounter.episodeOfCare","BeModelEncounter.episodeOfCare","","","",0,*,"","","","Reference {[]} {[]}
","Reference to the EpisodeOfCare resource this Encounter is linked to. Refers to BeEpisodeOfCare","Reference to the EpisodeOfCare resource this Encounter is linked to. Refers to BeEpisodeOfCare","","","","","","","","","",,,,,"",,,,"BeModelEncounter.episodeOfCare",0,*,"",""
"BeModelEncounter.basedOn","BeModelEncounter.basedOn","","","",0,*,"","","","Reference {[]} {[]}
","The request that initiated this Encounter. In this case it can only originate from BeCarePlan","The request that initiated this Encounter. In this case it can only originate from BeCarePlan","","","","","","","","","",,,,,"",,,,"BeModelEncounter.basedOn",0,*,"",""
"BeModelEncounter.careTeam","BeModelEncounter.careTeam","","","",0,*,"","","","Reference {[]} {[]}
","Reference to the CareTeam resource recording which team is involved in the care during this Encounter. Refers to BeCareTeam","Reference to the CareTeam resource recording which team is involved in the care during this Encounter. Refers to BeCareTeam","","","","","","","","","",,,,,"",,,,"BeModelEncounter.careTeam",0,*,"",""
"BeModelEncounter.partOf","BeModelEncounter.partOf","","","",0,1,"","","","Reference {[]} {[]}
","Reference to another Encounter this Encounter is part of. Refers to BeEncounter","Reference to another Encounter this Encounter is part of. Refers to BeEncounter","","","","","","","","","",,,,,"",,,,"BeModelEncounter.partOf",0,1,"",""
"BeModelEncounter.serviceProvider","BeModelEncounter.serviceProvider","","","",0,1,"","","","Reference {[]} {[]}
","Organisation responsible for this Encounter. Refers to BeOrganization","Organisation responsible for this Encounter. Refers to BeOrganization","","","","","","","","","",,,,,"",,,,"BeModelEncounter.serviceProvider",0,1,"",""
"BeModelEncounter.participant","BeModelEncounter.participant","","","",0,*,"","","","BackboneElement {[]} {[]}
","List of participants involved in the care during this Encounter. Refers to BePractitioner","List of participants involved in the care during this Encounter. Refers to BePractitioner","","","","","","","","","",,,,,"",,,,"BeModelEncounter.participant",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelEncounter.participant.id","BeModelEncounter.participant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelEncounter.participant.extension","BeModelEncounter.participant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelEncounter.participant.modifierExtension","BeModelEncounter.participant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelEncounter.participant.period","BeModelEncounter.participant.period","","","",1,1,"","","","Period {[]} {[]}
","Period during which the Participant is involved in this Encounter","Period during which the Participant is involved in this Encounter","","","","","","","","","",,,,,"",,,,"BeModelEncounter.participant.period",1,1,"",""
"BeModelEncounter.participant.role","BeModelEncounter.participant.role","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Role of the Participant involved in this Encounter","Role of the Participant involved in this Encounter","","","","","","","","","",,,,,"",,,,"BeModelEncounter.participant.role",1,1,"",""
"BeModelEncounter.actualPeriod","BeModelEncounter.actualPeriod","","","",0,1,"","","","Period {[]} {[]}
","The effective start and end moments of this Encounter","The effective start and end moments of this Encounter","","","","","","","","","",,,,,"",,,,"BeModelEncounter.actualPeriod",0,1,"",""
"BeModelEncounter.length","BeModelEncounter.length","","","",0,1,"","","","Duration {[]} {[]}
","Effective duration of the Encounter (excluding absences)","Effective duration of the Encounter (excluding absences)","","","","","","","","","",,,,,"",,,,"BeModelEncounter.length",0,1,"",""
