"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelProblem","BeModelProblem","","","",0,*,"","","","null {[]} {[]}
","Problem Logical Model","Logical model for Problem","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelProblem.identifier","BeModelProblem.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business Identifier","Unique identifier of the problem","","","","","","","","","",,,,,"",,,,"BeModelProblem.identifier",1,*,"",""
"BeModelProblem.recordedDate","BeModelProblem.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Recorded Date","Date of last modification of the information by the recorder","","","","","","","","","",,,,,"",,,,"BeModelProblem.recordedDate",1,1,"",""
"BeModelProblem.recorder","BeModelProblem.recorder","","","",1,1,"","","","Identifier {[]} {[]}
","Recorder","The healthcare professional responsible for the content (ideally identified by the NISS)","","","","","","","","","",,,,,"",,,,"BeModelProblem.recorder",1,1,"",""
"BeModelProblem.asserter","BeModelProblem.asserter","","","",0,1,"","","","Identifier {[]} {[]}
","Asserter","The person asserting the information (e.g., patient, practitioner, parent; ideally identified by the NISS)","","","","","","","","","",,,,,"",,,,"BeModelProblem.asserter",0,1,"",""
"BeModelProblem.subject","BeModelProblem.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Reference or Identifier to the patient (ideally identified by the NISS)","","","","","","","","","",,,,,"",,,,"BeModelProblem.subject",1,1,"",""
"BeModelProblem.cause","BeModelProblem.cause","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Procedure], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationAdministration], CanonicalType[http://hl7.org/fhir/StructureDefinition/Immunization], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationStatement]]}
","Cause","Reference to the primary cause of the problem (procedure, medication administration, or other condition)","","","","","","","","","",,,,,"",,,,"BeModelProblem.cause",0,*,"",""
"BeModelProblem.category","BeModelProblem.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category","Thematic category of the problem","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/core-clinical/ValueSet/ProblemCategoryVS","",,,,"BeModelProblem.category",0,*,"",""
"BeModelProblem.code","BeModelProblem.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code","Identification of the problem - in SNOMED-CT","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/core-clinical/ValueSet/ProblemCodeVS","",,,,"BeModelProblem.code",1,1,"",""
"BeModelProblem.clinicalStatus","BeModelProblem.clinicalStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Clinical Status","Clinical status of the problem (active, inactive, resolved, etc.)","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-clinical","",,,,"BeModelProblem.clinicalStatus",1,1,"",""
"BeModelProblem.verificationStatus","BeModelProblem.verificationStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Verification Status","Degree of certainty associated with the problem (confirmed, suspected, etc.)","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-ver-status","",,,,"BeModelProblem.verificationStatus",0,1,"",""
"BeModelProblem.diseaseCourse","BeModelProblem.diseaseCourse","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Course of Disease","Course of disease evolution (acute, chronic, fulminant, etc.)","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/core-clinical/ValueSet/ProblemDiseaseCourseVS","",,,,"BeModelProblem.diseaseCourse",0,1,"",""
"BeModelProblem.symptom","BeModelProblem.symptom","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Symptom","Symptoms recorded in the context of this problem","","","","","","","","","",,,,,"",,,,"BeModelProblem.symptom",0,*,"",""
"BeModelProblem.severity","BeModelProblem.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Severity","Degree of severity of the problem","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/condition-severity","",,,,"BeModelProblem.severity",0,1,"",""
"BeModelProblem.bodySite","BeModelProblem.bodySite","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Body Site","Anatomical site(s) where the problem is active","","","","","","","","","",,,,,"",,,,"BeModelProblem.bodySite",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelProblem.bodySite.id","BeModelProblem.bodySite.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelProblem.bodySite.extension","BeModelProblem.bodySite.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelProblem.bodySite.coding","BeModelProblem.bodySite.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelProblem.bodySite.text","BeModelProblem.bodySite.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelProblem.bodySite.localisation","BeModelProblem.bodySite.localisation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Body Localisation","Specific location on the body if not implied by the code","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-bodysite","",,,,"BeModelProblem.bodySite.localisation",1,1,"",""
"BeModelProblem.bodySite.laterality","BeModelProblem.bodySite.laterality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Body Laterality","Laterality of the affected body site (right, left, both)","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-laterality","",,,,"BeModelProblem.bodySite.laterality",0,1,"",""
"BeModelProblem.bodySite.topography","BeModelProblem.bodySite.topography","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Body Topography","Topography of the affected body site (e.g., upper arm, lower leg, etc.)","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-body-topography","",,,,"BeModelProblem.bodySite.topography",0,1,"",""
"BeModelProblem.onset[x]","BeModelProblem.onset[x]","","","",0,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}Range {[]} {[]}Age {[]} {[]}string {[]} {[]}","Onset","Moment the problem began","","","","","","","","","",,,,,"",,,,"BeModelProblem.onset[x]",0,1,"",""
"BeModelProblem.abatement[x]","BeModelProblem.abatement[x]","","","",0,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}Range {[]} {[]}Age {[]} {[]}string {[]} {[]}","Abatement","Moment the problem went into remission","","","","","","","","","",,,,,"",,,,"BeModelProblem.abatement[x]",0,1,"",""
"BeModelProblem.note","BeModelProblem.note","","","",0,*,"","","","Annotation {[]} {[]}
","Note","Additional notes pertaining to the problem","","","","","","","","","",,,,,"",,,,"BeModelProblem.note",0,*,"",""
