URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.4.1084",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","ValueSet/device-nametype"
http://hl7.org/fhir/device-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.215",DeviceUseStatementStatus,DeviceUseStatementStatus,"A coded concept indicating the current status of the Device Usage.","ValueSet/device-statement-status"
http://hl7.org/fhir/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.210",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","ValueSet/DeviceStatusVS,ValueSet/device-status"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/udi-entry-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.212",UDIEntryType,UDIEntryType,"Codes to identify how UDI data was entered.","ValueSet/udi-entry-type"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/condition-stage,ValueSet/encounter-reason,ValueSet/be-vs-laterality,ValueSet/procedure-followup,ValueSet/ProblemDiseaseCourseVS,ValueSet/device-action,ValueSet/be-vs-score,ValueSet/body-site,ValueSet/manifestation-or-symptom,ValueSet/procedure-code,ValueSet/be-vs-severity,ValueSet/device-kind,ValueSet/performer-role,ValueSet/referencerange-appliesto,ValueSet/be-vs-bodysite,ValueSet/procedure-reason,ValueSet/procedure-outcome,ValueSet/procedure-category,ValueSet/DeviceTypeVS,ValueSet/be-vs-body-topography,ValueSet/condition-code,ValueSet/condition-stage-type,ValueSet/procedure-not-performed-reason,ValueSet/observation-methods,ValueSet/be-vs-reaction-manifestation-code,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/admit-source,1.0.1,active,"2.16.840.1.113883.4.642.1.1092",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","ValueSet/encounter-admit-source"
