Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.core-clinical.json	15169	-	0	0	0	0	0	0	10	57	0	0	0	0	0	0	0	1	0	0	0	183	221	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-be-cs-bodysite.json	636	2	0	0	2	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	20	99	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-category.json	3742	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	30	121	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-origin-type.json	2581	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	21	97	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-score-category.json	2022	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	20	74	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-score.json	6491	2	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	37	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelBodySite.json	2045	1	0	7	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	0	46	673	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelClinicalObservation.json	10629	2	0	16	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	166	379	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-BeModelDevice.json	9738	3	0	21	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	145	340	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelDeviceUseStatement.json	8360	1	0	16	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	106	251	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelProblem.json	10138	3	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	140	280	0	0	0	3	0	0
