"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelProcedure","BeModelProcedure","","","",0,*,"","","","null {[]} {[]}
","BeProcedure Model","Procedure logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelProcedure.identifier","BeModelProcedure.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier for the procedure","Unique identifier for the procedure","","","","","","","","","",,,,,"",,,,"BeModelProcedure.identifier",1,*,"",""
"BeModelProcedure.recordedDate","BeModelProcedure.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date of the last modification/recording of the procedure","Date of the last modification/recording of the procedure","","","","","","","","","",,,,,"",,,,"BeModelProcedure.recordedDate",1,1,"",""
"BeModelProcedure.performedDate[x]","BeModelProcedure.performedDate[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Date or period when the procedure was actually performed","Date or period when the procedure was actually performed. For example: the date of an operation or the period during which a treatment was carried out","","","","","","","","","",,,,,"",,,,"BeModelProcedure.performedDate[x]",1,1,"",""
"BeModelProcedure.patient","BeModelProcedure.patient","","","",1,1,"","","","Reference {[]} {[]}
","The patient that is the subject of the procedure.","The patient that is the subject of the procedure. This includes the patient's Social Security Identification Number (NISS), generally corresponding to the national registry number. In some cases, another unique identification code may be authorized, such as the BIS number","","","","","","","","","",,,,,"",,,,"BeModelProcedure.patient",1,1,"",""
"BeModelProcedure.recorder","BeModelProcedure.recorder","","","",1,1,"","","","Reference {[]} {[]}
","Person, organization or device that recorded the procedure.","Person, organization or device that recorded the procedure. For a healthcare provider, this is the Social Security Identification Number (NISS). For an organization, the Crossroads Bank for Social Security (BCSS) number is used. For a medical device, use the unique device identification number","","","","","","","","","",,,,,"",,,,"BeModelProcedure.recorder",1,1,"",""
"BeModelProcedure.performer","BeModelProcedure.performer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Person who performed the procedure.","Person who performed the procedure. For a healthcare provider, this is the Social Security Identification Number (NISS). For an organization, the BCSS number is used. For a medical device, use the unique device identification number","","","","","","","","","",,,,,"",,,,"BeModelProcedure.performer",0,1,"",""
"BeModelProcedure.request","BeModelProcedure.request","","","",0,*,"","","","Reference {[]} {[]}
","CarePlan and/or Referral Prescription that is at the origin of the procedure. For example: a physiotherapy session performed on prescription from the general practitioner","CarePlan and/or Referral Prescription that is at the origin of the procedure. For example: a physiotherapy session performed on prescription from the general practitioner","","","","","","","","","",,,,,"",,,,"BeModelProcedure.request",0,*,"",""
"BeModelProcedure.partOf","BeModelProcedure.partOf","","","",0,*,"","","","Reference {[]} {[]}
","Part of the event being referenced: procedure, observation (symptoms) or problem (disease). For example: Blood draw (procedure) is part of the diagnostic observation (Observation)","Part of the event being referenced: procedure, observation (symptoms) or problem (disease). For example: Blood draw (procedure) is part of the diagnostic observation (Observation)","","","","","","","","","",,,,,"",,,,"BeModelProcedure.partOf",0,*,"",""
"BeModelProcedure.category","BeModelProcedure.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type or nature of the procedure. For example: surgical, psychiatric or chiropractic procedures","Type or nature of the procedure. For example: surgical, psychiatric or chiropractic procedures","","","","","","","","","",,,,,"",,,,"BeModelProcedure.category",0,*,"",""
"BeModelProcedure.focalDevice[x]","BeModelProcedure.focalDevice[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[]}","Implanted or manipulated device","Implanted or manipulated device","","","","","","","","","",,,,,"",,,,"BeModelProcedure.focalDevice[x]",0,*,"",""
"BeModelProcedure.usedDevice","BeModelProcedure.usedDevice","","","",0,*,"","","","Reference {[]} {[]}
","Devices or materials used temporarily during the procedure. For example: surgical robot, intraoperative imaging, neuronavigation. This also includes substances such as gels. Standard small instruments such as scalpels and syringes are not recorded","Devices or materials used temporarily during the procedure. For example: surgical robot, intraoperative imaging, neuronavigation. This also includes substances such as gels. Standard small instruments such as scalpels and syringes are not recorded","","","","","","","","","",,,,,"",,,,"BeModelProcedure.usedDevice",0,*,"",""
"BeModelProcedure.status","BeModelProcedure.status","","","",1,1,"","","","code {[]} {[]}
","Procedure status (not-done, stopped, completed, entered-in-error). Note: 'not-done' is out of scope as it implies planning. Business Rule: 'completed' by default","Procedure status (not-done, stopped, completed, entered-in-error). Note: 'not-done' is out of scope as it implies planning. Business Rule: 'completed' by default","","","","","","","","","",,,,,"",,,,"BeModelProcedure.status",1,1,"",""
"BeModelProcedure.code","BeModelProcedure.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Identification of the procedure (SNOMED-CT Procedure concept)","Identification of the procedure (SNOMED-CT Procedure concept)","","","","","","","","","",,,,,"",,,,"BeModelProcedure.code",1,1,"",""
"BeModelProcedure.reason","BeModelProcedure.reason","","","",0,*,"","","","BackboneElement {[]} {[]}
","Reason why the procedure is performed. For example: amputation after an accident, broken leg","Reason why the procedure is performed. For example: amputation after an accident, broken leg","","","","","","","","","",,,,,"",,,,"BeModelProcedure.reason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelProcedure.reason.id","BeModelProcedure.reason.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelProcedure.reason.extension","BeModelProcedure.reason.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelProcedure.reason.modifierExtension","BeModelProcedure.reason.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelProcedure.reason.reasonCode","BeModelProcedure.reason.reasonCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Coded reason why the procedure is performed","Coded reason why the procedure is performed","","","","","","","","","",,,,,"",,,,"BeModelProcedure.reason.reasonCode",0,1,"",""
