Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.core-clinical.json	13430	-	0	0	0	0	0	0	15	86	0	0	0	0	0	0	0	0	0	0	0	153	202	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-be-cs-bodysite.json	636	4	0	0	3	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	17	133	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-category.json	3754	2	0	0	1	0	0	0	1	8	0	0	0	0	1	0	0	1	0	0	0	28	133	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-origin-type.json	2581	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	22	138	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-score-category.json	2022	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	112	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-score.json	6491	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	37	164	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelBodySite.json	2045	2	0	7	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	45	747	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelClinicalObservation.json	10629	4	0	20	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	169	496	0	1	0	5	0	1
fsh-generated/resources/StructureDefinition-BeModelProblem.json	10141	4	0	17	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	0	143	434	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-BeModelProcedure.json	12330	4	0	19	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	140	274	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-be-clinical-observation.json	6415	4	0	65	0	0	0	0	1	43	0	0	1	0	0	0	0	1	0	0	0	265	2715	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-be-ext-body-topography.json	1993	1	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	36	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-ext-laterality.json	2012	2	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	95	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-ext-problem-origin-type.json	1841	1	0	8	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	34	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-ext-surgical-approach.json	1363	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	32	148	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-observation.json	4627	2	0	62	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	154	454	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-be-observationcodeableconcept.json	2296	2	0	14	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	78	209	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-be-problem.json	6443	3	0	50	0	0	0	0	1	31	0	0	0	0	0	0	0	1	0	0	0	185	1251	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-be-procedure.json	7418	4	0	49	0	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	0	213	473	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-be-scoreresult.json	6029	3	0	49	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	0	193	1130	0	0	0	9	0	1
fsh-generated/resources/ValueSet-ProblemCodeVS.json	335	2	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	9	82	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ProblemDiseaseCourseVS.json	595	1	0	0	0	0	0	0	0	2610	0	0	0	0	1	0	0	0	0	0	0	8	819	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-body-topography.json	927	2	0	0	0	0	0	0	1	778	0	0	0	0	0	0	0	0	0	0	0	7	828	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-bodysite.json	662	1	0	0	1	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	6	62	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-laterality.json	684	2	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	7	852	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-problem-category.json	593	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	7	63	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-problem-code.json	393	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-problem-origin-type.json	511	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	71	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-reaction-manifestation-code.json	2525	3	0	0	0	0	0	0	1	768	0	0	0	0	0	0	0	0	0	0	0	16	859	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-score.json	5944	2	0	0	0	0	0	0	1	795	0	0	0	0	0	0	0	0	0	0	0	19	67	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-scorecategory.json	1242	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	59	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-severity.json	783	1	0	0	0	0	0	0	1	779	0	0	0	0	0	0	0	0	0	0	0	11	49	0	0	0	0	0	0
/input/includes/menu.xml_bla	919	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1856	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1606	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	56	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-be-observation-intro.md	249	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/CodeSystem-be-cs-bodysite-intro.md	102	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.xml	813	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
/input/pagecontent/index.md	2216	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/spec.md	56	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	1184	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/guidance.xml	523	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	46	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	21228	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0	0	0	0	0	0
