Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.core-clinical.json	13164	-	0	0	0	0	0	0	13	62	0	0	0	0	0	0	0	1	0	0	0	143	252	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-be-cs-bodysite.json	636	3	0	0	2	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	21	97	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-category.json	3742	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	27	220	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-problem-origin-type.json	2581	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	15	111	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-score-category.json	2022	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	14	99	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-be-cs-score.json	6491	2	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	28	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelBodySite.json	2045	2	0	7	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	26	617	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelClinicalObservation.json	10629	4	0	20	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	0	88	483	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-BeModelProblem.json	10138	3	0	20	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	0	81	313	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-BeModelProcedure.json	12330	2	0	22	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	77	254	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-be-clinical-observation.json	7351	2	0	60	1	0	0	0	0	63	0	0	0	0	0	0	0	1	0	0	0	166	2336	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-be-ext-body-topography.json	2081	1	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	28	220	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-be-ext-laterality.json	2179	1	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	61	166	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-be-ext-problem-origin-type.json	1841	1	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	167	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-ext-surgical-approach.json	1363	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	30	166	0	0	0	1	0	0
